dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.7818715751869456,33031,33031,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_01L_debug.json,0.9496746746746747,0.7818715751869456,0.3861254391866637,0.9919240490721903,0.5169542415629128,0.3485760561479282,25826,7205,884950,41059,0.00807595092780963,0.6138745608133364,0.689024744129427,0.5169542415629128,959040,33031,66885,0.9496746746746747,0.7818715751869456,0.3861254391866637,0.9919240490721903,0.5169542415629128,0.3485760561479282,25826,7205,884950,41059,0.00807595092780963,0.6138745608133364,0.689024744129427,0.5169542415629128,959040,33031,66885,0.03444173340006673,33031,959040,21,1572.904761904762,731.0,2029.3267216765903,52,8593,0,0.0,0,0.0,8593,0.26014955647724863,7487,0.22666585934425237,371,1567,0.04955255776679578,0.2092961132629892,normal,low,normal,0.03444173340006673,33031,959040,21,1572.904761904762,731.0,2029.3267216765903,52,8593,0,0.0,0,0.0,8593,0.26014955647724863,7487,0.22666585934425237,371,1567,0.04955255776679578,0.2092961132629892,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.8098708952041251,25793,25785,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_01R_debug.json,0.9407188438438439,0.8098708952041251,0.2867871166149537,0.9944662729264886,0.42357879368555523,0.2686964575133133,20889,4904,881298,51949,0.005533727073511457,0.7132128833850463,0.6406266947707211,0.42357879368555523,959040,25793,72838,0.9407271855188521,0.8101221640488656,0.2867871166149537,0.994475300213721,0.42361315311844094,0.2687241104278694,20889,4896,881306,51949,0.005524699786278975,0.7132128833850463,0.6406312084143373,0.42361315311844094,959040,25785,72838,0.026894602936269604,25793,959040,25,1031.72,458.0,1519.601961567568,8,6829,1,0.04,8,0.00031016167177141084,6829,0.2647617570658706,6638,0.25735664715232814,383,1464,0.057698101837902985,0.2205483579391383,normal,low,normal,0.02688626126126126,25785,959040,24,1074.375,458.0,1536.2031607315703,21,6829,0,0.0,0,0.0,6829,0.26484390149311615,6636,0.2573589296102385,381,1464,0.057414104882459314,0.2206148282097649,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.619248026155612,28751,28751,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_02L_debug.json,0.9260062145478812,0.619248026155612,0.22878437419686456,0.9875774494450875,0.3341246680616678,0.20057003165590817,17804,10947,870273,60016,0.012422550554912508,0.7712156258031354,0.608180911820976,0.3341246680616678,959040,28751,77820,0.9260062145478812,0.619248026155612,0.22878437419686456,0.9875774494450875,0.3341246680616678,0.20057003165590817,17804,10947,870273,60016,0.012422550554912508,0.7712156258031354,0.608180911820976,0.3341246680616678,959040,28751,77820,0.029978937270603936,28751,959040,21,1369.095238095238,321.0,2046.449629521284,20,8018,0,0.0,0,0.0,8018,0.2788772564432542,6872,0.23901777329484192,423,1507,0.06155413271245634,0.21929569266589058,normal,low,normal,0.029978937270603936,28751,959040,21,1369.095238095238,321.0,2046.449629521284,20,8018,0,0.0,0,0.0,8018,0.2788772564432542,6872,0.23901777329484192,423,1507,0.06155413271245634,0.21929569266589058,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.6239586804398534,24008,24008,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_02R_debug.json,0.9281177010343677,0.6239586804398534,0.200026705835225,0.9897890629418085,0.3029383809581589,0.17850759074334469,14980,9028,875122,59910,0.010210937058191483,0.799973294164775,0.5949078843885167,0.3029383809581589,959040,24008,74890,0.9281177010343677,0.6239586804398534,0.200026705835225,0.9897890629418085,0.3029383809581589,0.17850759074334469,14980,9028,875122,59910,0.010210937058191483,0.799973294164775,0.5949078843885167,0.3029383809581589,959040,24008,74890,0.025033366700033366,24008,959040,28,857.4285714285714,391.5,892.1057123686724,19,2852,0,0.0,0,0.0,2852,0.11879373542152616,6786,0.28265578140619796,462,1578,0.0680813439434129,0.23253757736516356,normal,low,normal,0.025033366700033366,24008,959040,28,857.4285714285714,391.5,892.1057123686724,19,2852,0,0.0,0,0.0,2852,0.11879373542152616,6786,0.28265578140619796,462,1578,0.0680813439434129,0.23253757736516356,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.7908105705787837,29251,29236,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_03L_debug.json,0.939332040373707,0.7908105705787837,0.30762274589073885,0.9930768325632126,0.4429423535381581,0.2844739592941032,23132,6119,877725,52064,0.006923167436787487,0.6923772541092611,0.6503497892269757,0.4429423535381581,959040,29251,75196,0.9393476810143477,0.7912163086605555,0.30762274589073885,0.9930938038839433,0.44300597518002144,0.28452644526445264,23132,6104,877740,52064,0.00690619611605668,0.6923772541092611,0.6503582748873411,0.44300597518002144,959040,29236,75196,0.030500291958625293,29251,959040,30,975.0333333333333,439.5,1244.8056470344632,15,4631,0,0.0,0,0.0,4631,0.15831937369662574,6943,0.23735940651601656,388,1440,0.0558836237937491,0.20740313985308945,normal,low,normal,0.03048465131798465,29236,959040,29,1008.1379310344828,490.0,1253.0347636462702,22,4631,0,0.0,0,0.0,4631,0.15840060199753728,6940,0.23737857436037763,386,1440,0.05561959654178674,0.207492795389049,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.7862876028598408,29652,29629,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_03R_debug.json,0.9421890640640641,0.7862876028598408,0.32193700722166224,0.9928526232801237,0.45682991584454263,0.2960334188272937,23315,6337,880282,49106,0.007147376719876294,0.6780629927783378,0.6573948152508929,0.45682991584454263,959040,29652,72421,0.9421775942609276,0.7863242093894496,0.32170226867897433,0.9928593905612219,0.4565997060264576,0.29584010564811053,23298,6331,880288,49123,0.0071406094387781,0.6782977313210257,0.657280829620098,0.4565997060264576,959040,29629,72421,0.030918418418418418,29652,959040,18,1647.3333333333333,1294.5,1585.2341572566918,8,5421,1,0.05555555555555555,8,0.0002697963037906381,5421,0.18282072035613112,6717,0.22652772157021447,366,1452,0.05448861098704779,0.21616793211255025,normal,low,normal,0.030894436102769436,29629,959040,16,1851.8125,1491.5,1565.497094326192,90,5421,0,0.0,0,0.0,5421,0.18296263795605658,6712,0.22653481386479463,362,1452,0.05393325387365912,0.2163289630512515,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.7382964383845715,38578,38578,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_04L_debug.json,0.9407928762095429,0.7382964383845715,0.3789112388250319,0.9885775315882843,0.5008000281328574,0.33404484893976355,28482,10096,873776,46686,0.011422468411715724,0.621088761174968,0.6837443852066581,0.5008000281328574,959040,38578,75168,0.9407928762095429,0.7382964383845715,0.3789112388250319,0.9885775315882843,0.5008000281328574,0.33404484893976355,28482,10096,873776,46686,0.011422468411715724,0.621088761174968,0.6837443852066581,0.5008000281328574,959040,38578,75168,0.04022564230897564,38578,959040,20,1928.9,1417.5,1996.7479285077525,60,8665,0,0.0,0,0.0,8665,0.22460988127948572,8846,0.2293016745295246,467,1907,0.05279222247343432,0.21557766222021252,normal,low,normal,0.04022564230897564,38578,959040,20,1928.9,1417.5,1996.7479285077525,60,8665,0,0.0,0,0.0,8665,0.22460988127948572,8846,0.2293016745295246,467,1907,0.05279222247343432,0.21557766222021252,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.7341370841705738,22395,22395,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_04R_debug.json,0.9339579162495829,0.7341370841705738,0.22270535327264845,0.993273957994433,0.34174123613839263,0.2060843841660608,16441,5954,879262,57383,0.006726042005567003,0.7772946467273515,0.6079896556335407,0.34174123613839263,959040,22395,73824,0.9339579162495829,0.7341370841705738,0.22270535327264845,0.993273957994433,0.34174123613839263,0.2060843841660608,16441,5954,879262,57383,0.006726042005567003,0.7772946467273515,0.6079896556335407,0.34174123613839263,959040,22395,73824,0.023351476476476476,22395,959040,29,772.2413793103449,325.0,964.7162046576868,12,3665,0,0.0,0,0.0,3665,0.16365260102701495,5076,0.22665773610180845,315,1117,0.06205673758865248,0.22005516154452326,low,low,conservative,0.023351476476476476,22395,959040,29,772.2413793103449,325.0,964.7162046576868,12,3665,0,0.0,0,0.0,3665,0.16365260102701495,5076,0.22665773610180845,315,1117,0.06205673758865248,0.22005516154452326,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.8115868427220877,25598,25598,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_05L_debug.json,0.937448907240574,0.8115868427220877,0.2735676380347902,0.994538551170367,0.40920237544194843,0.25723094448021394,20775,4823,878276,55166,0.005461448829632918,0.7264323619652099,0.6340530946025786,0.40920237544194843,959040,25598,75941,0.937448907240574,0.8115868427220877,0.2735676380347902,0.994538551170367,0.40920237544194843,0.25723094448021394,20775,4823,878276,55166,0.005461448829632918,0.7264323619652099,0.6340530946025786,0.40920237544194843,959040,25598,75941,0.026691274607941275,25598,959040,26,984.5384615384615,868.0,754.4952582187354,31,2695,0,0.0,0,0.0,2695,0.10528166262989296,6367,0.24873036956012187,386,1427,0.060625098162399874,0.2241243913931208,normal,low,normal,0.026691274607941275,25598,959040,26,984.5384615384615,868.0,754.4952582187354,31,2695,0,0.0,0,0.0,2695,0.10528166262989296,6367,0.24873036956012187,386,1427,0.060625098162399874,0.2241243913931208,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.8232785380732583,37047,37039,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\debug\Image_05R_debug.json,0.9398252419085752,0.8232785380732583,0.37348615652131323,0.9925379853814267,0.5138572993008171,0.34576578619204174,30500,6547,870830,51163,0.007462014618573315,0.6265138434786868,0.68301207095137,0.5138572993008171,959040,37047,81663,0.9398169002335669,0.8232403682604822,0.37338819293927483,0.9925379853814267,0.5137571397280585,0.34567509352681103,30492,6547,870830,51171,0.007462014618573315,0.6266118070607252,0.6829630891603508,0.5137571397280585,959040,37039,81663,0.03862925425425425,37047,959040,20,1852.35,1349.0,1709.9930197225954,8,6420,1,0.05,8,0.00021594191162577266,6420,0.17329338407968256,9402,0.25378573163818935,500,2014,0.05318017443097214,0.21420974260795575,normal,low,normal,0.038620912579245915,37039,959040,19,1949.421052631579,1377.0,1699.8585487835671,232,6420,0,0.0,0,0.0,6420,0.17333081346688625,9400,0.2537865493128864,498,2014,0.05297872340425532,0.21425531914893617,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
