dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.6811502464167835,44234,44234,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_01L_debug.json,0.9469688438438438,0.6811502464167835,0.45047469537265455,0.9841910878715021,0.5423014965937418,0.37202583066836237,30130,14104,878051,36755,0.01580891212849785,0.5495253046273454,0.7173328916220784,0.5423014965937418,959040,44234,66885,0.9469688438438438,0.6811502464167835,0.45047469537265455,0.9841910878715021,0.5423014965937418,0.37202583066836237,30130,14104,878051,36755,0.01580891212849785,0.5495253046273454,0.7173328916220784,0.5423014965937418,959040,44234,66885,0.04612320653987321,44234,959040,45,982.9777777777778,333.0,1743.188731911071,25,9941,0,0.0,0,0.0,9941,0.22473662793326402,10300,0.23285255685671655,588,2219,0.0570873786407767,0.21543689320388348,normal,low,normal,0.04612320653987321,44234,959040,45,982.9777777777778,333.0,1743.188731911071,25,9941,0,0.0,0,0.0,9941,0.22473662793326402,10300,0.23285255685671655,588,2219,0.0570873786407767,0.21543689320388348,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.6537261617133072,42631,42631,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_01R_debug.json,0.9377179262595929,0.6537261617133072,0.38261621680990693,0.9833423982342626,0.4827096450129472,0.3181392694063927,27869,14762,871440,44969,0.016657601765737384,0.6173837831900931,0.6829793075220848,0.4827096450129472,959040,42631,72838,0.9377179262595929,0.6537261617133072,0.38261621680990693,0.9833423982342626,0.4827096450129472,0.3181392694063927,27869,14762,871440,44969,0.016657601765737384,0.6173837831900931,0.6829793075220848,0.4827096450129472,959040,42631,72838,0.044451743410076745,42631,959040,54,789.4629629629629,269.0,1222.584719672386,21,6951,0,0.0,0,0.0,6951,0.16305036241232906,11535,0.2705777485867092,761,2755,0.0659731252709146,0.23883831816211532,normal,low,normal,0.044451743410076745,42631,959040,54,789.4629629629629,269.0,1222.584719672386,21,6951,0,0.0,0,0.0,6951,0.16305036241232906,11535,0.2705777485867092,761,2755,0.0659731252709146,0.23883831816211532,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.6303261128302785,46211,46211,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_02L_debug.json,0.9314157907907908,0.6303261128302785,0.37429966589565666,0.9806143755248405,0.46968902935556434,0.3069239117836106,29128,17083,864137,48692,0.019385624475159437,0.6257003341043433,0.6774570207102486,0.46968902935556434,959040,46211,77820,0.9314157907907908,0.6303261128302785,0.37429966589565666,0.9806143755248405,0.46968902935556434,0.3069239117836106,29128,17083,864137,48692,0.019385624475159437,0.6257003341043433,0.6774570207102486,0.46968902935556434,959040,46211,77820,0.048184642976309644,46211,959040,39,1184.8974358974358,450.0,1667.5947640757668,26,8073,0,0.0,0,0.0,8073,0.1746986648200645,11345,0.2455043171539244,705,2539,0.062141912736888495,0.2237990304098722,normal,low,normal,0.048184642976309644,46211,959040,39,1184.8974358974358,450.0,1667.5947640757668,26,8073,0,0.0,0,0.0,8073,0.1746986648200645,11345,0.2455043171539244,705,2539,0.062141912736888495,0.2237990304098722,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.6209766759483817,33399,33368,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_02R_debug.json,0.9303376292959626,0.6209766759483817,0.27693951128321537,0.9856822937284397,0.38304906315507575,0.23689590971912872,20740,12659,871491,54150,0.014317706271560256,0.7230604887167846,0.6313109025058276,0.38304906315507575,959040,33399,74890,0.93036995328662,0.6215535842723567,0.27693951128321537,0.9857173556523214,0.3831587503925807,0.23697982129390524,20740,12628,871522,54150,0.014282644347678562,0.7230604887167846,0.6313284334677685,0.3831587503925807,959040,33368,74890,0.03482545045045045,33399,959040,52,642.2884615384615,342.0,783.2979425416237,8,2865,2,0.038461538461538464,18,0.0005389382915656157,2865,0.08578101140752717,9353,0.28003832450073357,642,2144,0.06864107772907088,0.22923126269646102,normal,low,normal,0.03479312645979313,33368,959040,49,680.9795918367347,362.0,790.6781767415512,18,2865,0,0.0,0,0.0,2865,0.08586070486693838,9345,0.280058738911532,638,2144,0.06827180310326378,0.2294275013376137,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.7830462498304624,36865,36865,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_03L_debug.json,0.9433527277277277,0.7830462498304624,0.38389010053726264,0.9909508917863333,0.5152015420172942,0.34698415751135897,28867,7998,875846,46329,0.009049108213666664,0.6161098994627374,0.687420496161798,0.5152015420172942,959040,36865,75196,0.9433527277277277,0.7830462498304624,0.38389010053726264,0.9909508917863333,0.5152015420172942,0.34698415751135897,28867,7998,875846,46329,0.009049108213666664,0.6161098994627374,0.687420496161798,0.5152015420172942,959040,36865,75196,0.03843948114781448,36865,959040,33,1117.121212121212,612.0,1376.1963777586782,28,6840,0,0.0,0,0.0,6840,0.18554184185541842,8894,0.24125864641258646,546,1886,0.06138970092196987,0.2120530694850461,normal,low,normal,0.03843948114781448,36865,959040,33,1117.121212121212,612.0,1376.1963777586782,28,6840,0,0.0,0,0.0,6840,0.18554184185541842,8894,0.24125864641258646,546,1886,0.06138970092196987,0.2120530694850461,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.760705289672544,42876,42868,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_03R_debug.json,0.9477967550884218,0.760705289672544,0.4503666063710802,0.9884279493220877,0.5657736107617718,0.3944799893566841,32616,10260,876359,39805,0.011572050677912385,0.5496333936289198,0.7193972778465839,0.5657736107617718,959040,42876,72421,0.9478009259259259,0.7608005971820472,0.45033899007194045,0.9884347166031858,0.565778174847557,0.3944844269730874,32614,10254,876365,39807,0.01156528339681419,0.5496610099280596,0.7193868533375631,0.565778174847557,959040,42868,72421,0.04470720720720721,42876,959040,27,1588.0,782.0,1792.829152588269,8,5705,1,0.037037037037037035,8,0.00018658456945610597,5705,0.13305812109338558,9878,0.23038529713592687,554,2177,0.05608422757643248,0.22038874266045758,normal,low,normal,0.044698865532198866,42868,959040,26,1648.7692307692307,853.0,1799.4867496400682,18,5705,0,0.0,0,0.0,5705,0.13308295231874592,9876,0.23038163665204814,552,2177,0.05589307411907655,0.22043337383556097,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.7155021050842978,52967,52958,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_04L_debug.json,0.9454256339673006,0.7155021050842978,0.5041773094934014,0.9829511512979255,0.5915323682054083,0.41998293382980373,37898,15069,868803,37270,0.017048848702074508,0.49582269050659855,0.7435642303956636,0.5915323682054083,959040,52967,75168,0.945435018351685,0.7156237018014275,0.5041773094934014,0.9829613337677854,0.5915739194230679,0.42002482599636476,37898,15060,868812,37270,0.01703866623221462,0.49582269050659855,0.7435693216305934,0.5915739194230679,959040,52958,75168,0.055229187520854185,52967,959040,44,1203.7954545454545,290.0,1583.688510746431,9,7646,1,0.022727272727272728,9,0.00016991711820567523,7646,0.14435403175562142,12144,0.22927483149885777,675,2647,0.05558300395256917,0.217967720685112,normal,low,normal,0.055219803136469806,52958,959040,43,1231.5813953488373,292.0,1591.359770068793,30,7646,0,0.0,0,0.0,7646,0.14437856414517164,12142,0.22927603006155822,673,2647,0.05542744193707791,0.21800362378520838,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.6919110212335693,39560,39535,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_04R_debug.json,0.9388555221888555,0.6919110212335693,0.3707737321196359,0.9862316090084228,0.48281944542439853,0.3182346649304748,27372,12188,873028,46452,0.013768390991577197,0.6292262678803641,0.6785026705640294,0.48281944542439853,959040,39560,73824,0.9388690774107441,0.6921967876565069,0.3706924577373212,0.9862530726963814,0.48282006722007076,0.3182352051911202,27366,12169,873047,46458,0.013746927303618551,0.6293075422626788,0.6784727652168513,0.48282006722007076,959040,39535,73824,0.04124958291624958,39560,959040,59,670.5084745762712,216.0,887.6343225710392,12,3675,0,0.0,0,0.0,3675,0.09289686552072801,9686,0.2448432760364004,652,2235,0.06731364856493909,0.23074540574024366,normal,low,normal,0.04122351518184852,39535,959040,57,693.5964912280701,248.0,894.3237346978044,18,3675,0,0.0,0,0.0,3675,0.09295560895409131,9680,0.24484633868723915,648,2235,0.06694214876033058,0.2308884297520661,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.7949579407381211,39587,39579,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_05L_debug.json,0.945165999332666,0.7949579407381211,0.4144006531386208,0.9908085050486978,0.5448029914825843,0.3743843536605677,31470,8117,874982,44471,0.009191494951302176,0.5855993468613793,0.7026045790936593,0.5448029914825843,959040,39587,75941,0.9451743410076744,0.7951186235124688,0.4144006531386208,0.9908175640556721,0.5448407202216067,0.37441998810232,31470,8109,874990,44471,0.009182435944327872,0.5855993468613793,0.7026091085971464,0.5448407202216067,959040,39579,75941,0.041277736069402736,39587,959040,32,1237.09375,1072.0,1237.332851322124,8,5023,1,0.03125,8,0.00020208654356228056,5023,0.12688508853916688,9869,0.24929901230201834,574,2219,0.05816192116729152,0.22484547573209038,normal,low,normal,0.04126939439439439,39579,959040,31,1276.741935483871,1102.0,1236.962459798636,18,5023,0,0.0,0,0.0,5023,0.12691073549104323,9867,0.24929887061320397,572,2219,0.057971014492753624,0.2248910509780075,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.8006896551724138,49300,49300,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\debug\Image_05R_debug.json,0.9457634718051384,0.8006896551724138,0.48337680467286287,0.9888007093871848,0.6028267525942442,0.4314617057788368,39474,9826,867551,42189,0.011199290612815244,0.5166231953271372,0.7360887570300239,0.6028267525942442,959040,49300,81663,0.9457634718051384,0.8006896551724138,0.48337680467286287,0.9888007093871848,0.6028267525942442,0.4314617057788368,39474,9826,867551,42189,0.011199290612815244,0.5166231953271372,0.7360887570300239,0.6028267525942442,959040,49300,81663,0.05140557223890557,49300,959040,34,1450.0,1171.0,1380.3524485988864,26,6423,0,0.0,0,0.0,6423,0.1302839756592292,12267,0.2488235294117647,671,2613,0.05469960055433276,0.21301051601858645,normal,low,normal,0.05140557223890557,49300,959040,34,1450.0,1171.0,1380.3524485988864,26,6423,0,0.0,0,0.0,6423,0.1302839756592292,12267,0.2488235294117647,671,2613,0.05469960055433276,0.21301051601858645,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
