dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.5737676761893857,17467,17467,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_01L_debug.json,0.9329454454454454,0.5737676761893857,0.1498392763698886,0.991655037521507,0.23762329286798178,0.134831158347908,10022,7445,884710,56863,0.008344962478493086,0.8501607236301114,0.5707471569456978,0.23762329286798178,959040,17467,66885,0.9329454454454454,0.5737676761893857,0.1498392763698886,0.991655037521507,0.23762329286798178,0.134831158347908,10022,7445,884710,56863,0.008344962478493086,0.8501607236301114,0.5707471569456978,0.23762329286798178,959040,17467,66885,0.018213004671338004,17467,959040,50,349.34,230.5,397.3585589867167,10,1656,2,0.04,21,0.0012022671323066354,1656,0.09480735100475182,5032,0.2880861052269995,297,1046,0.059022257551669316,0.20786963434022257,low,low,conservative,0.018213004671338004,17467,959040,50,349.34,230.5,397.3585589867167,10,1656,2,0.04,21,0.0012022671323066354,1656,0.09480735100475182,5032,0.2880861052269995,297,1046,0.059022257551669316,0.20786963434022257,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.5427249357326478,19450,19450,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_01R_debug.json,0.9257841174507841,0.5427249357326478,0.14492435267305528,0.9899639134192881,0.2287621359223301,0.1291538198013018,10556,8894,877308,62282,0.010036086580711846,0.8550756473269447,0.5674441330461717,0.2287621359223301,959040,19450,72838,0.9257841174507841,0.5427249357326478,0.14492435267305528,0.9899639134192881,0.2287621359223301,0.1291538198013018,10556,8894,877308,62282,0.010036086580711846,0.8550756473269447,0.5674441330461717,0.2287621359223301,959040,19450,72838,0.020280697364030698,19450,959040,55,353.6363636363636,135.0,507.5626020909365,17,2196,0,0.0,0,0.0,2196,0.11290488431876607,6431,0.3306426735218509,432,1517,0.06717462292023013,0.2358886642823822,low,low,conservative,0.020280697364030698,19450,959040,55,353.6363636363636,135.0,507.5626020909365,17,2196,0,0.0,0,0.0,2196,0.11290488431876607,6431,0.3306426735218509,432,1517,0.06717462292023013,0.2358886642823822,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.5623799646615963,26034,26023,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_02L_debug.json,0.9222430764097431,0.5623799646615963,0.18813929581084554,0.9870713329248088,0.28195351166060045,0.16411285350789684,14641,11393,869827,63179,0.012928667075191212,0.8118607041891545,0.5876053143678271,0.28195351166060045,959040,26034,77820,0.9222420337003671,0.5623871190869615,0.1880621948085325,0.9870770068768299,0.2818678196893387,0.16405479329208142,14635,11388,869832,63185,0.01292299312317015,0.8119378051914675,0.5875696008426812,0.2818678196893387,959040,26023,77820,0.027145895895895895,26034,959040,43,605.4418604651163,306.0,750.8611274172515,11,3625,1,0.023255813953488372,11,0.00042252439118076364,3625,0.13924099254820618,7622,0.29277099177998,413,1616,0.05418525321437943,0.21201784308580426,normal,low,normal,0.027134426092759425,26023,959040,42,619.5952380952381,343.5,754.0572815024386,32,3625,0,0.0,0,0.0,3625,0.13929985013257504,7614,0.2925873265957038,411,1616,0.05397951142631994,0.21224060940372996,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.6260488030174737,12991,12991,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_02R_debug.json,0.9253263680347014,0.6260488030174737,0.10859927894244893,0.9945054572187977,0.18509120287661723,0.10198374880874755,8133,4858,879292,66757,0.005494542781202285,0.8914007210575511,0.5515523680806234,0.18509120287661723,959040,12991,74890,0.9253263680347014,0.6260488030174737,0.10859927894244893,0.9945054572187977,0.18509120287661723,0.10198374880874755,8133,4858,879292,66757,0.005494542781202285,0.8914007210575511,0.5515523680806234,0.18509120287661723,959040,12991,74890,0.013545837504170837,12991,959040,58,223.98275862068965,115.5,273.04549901128394,8,1159,3,0.05172413793103448,26,0.002001385574628589,1159,0.08921561080748211,3917,0.30151643445462245,278,799,0.07097268317589993,0.20398263977533826,low,low,conservative,0.013545837504170837,12991,959040,58,223.98275862068965,115.5,273.04549901128394,8,1159,3,0.05172413793103448,26,0.002001385574628589,1159,0.08921561080748211,3917,0.30151643445462245,278,799,0.07097268317589993,0.20398263977533826,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.814924270410048,13535,13535,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_03L_debug.json,0.9304815231898566,0.814924270410048,0.14668333421990531,0.9971657894379551,0.24861660524506654,0.14195441500109393,11030,2505,881339,64166,0.0028342105620448857,0.8533166657800947,0.5719245618289301,0.24861660524506654,959040,13535,75196,0.9304815231898566,0.814924270410048,0.14668333421990531,0.9971657894379551,0.24861660524506654,0.14195441500109393,11030,2505,881339,64166,0.0028342105620448857,0.8533166657800947,0.5719245618289301,0.24861660524506654,959040,13535,75196,0.01411307140473807,13535,959040,46,294.2391304347826,142.0,365.30280380638897,10,1768,1,0.021739130434782608,10,0.0007388252678241596,1768,0.13062430735131142,3648,0.26952345770225344,219,705,0.060032894736842105,0.19325657894736842,low,low,conservative,0.01411307140473807,13535,959040,46,294.2391304347826,142.0,365.30280380638897,10,1768,1,0.021739130434782608,10,0.0007388252678241596,1768,0.13062430735131142,3648,0.26952345770225344,219,705,0.060032894736842105,0.19325657894736842,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.7809605070697221,16408,16408,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_03R_debug.json,0.9340997247247247,0.7809605070697221,0.17693762858839288,0.9959463986221816,0.2885093831969289,0.16857199236992698,12814,3594,883025,59607,0.0040536013778184315,0.8230623714116071,0.5864420136052872,0.2885093831969289,959040,16408,72421,0.9340997247247247,0.7809605070697221,0.17693762858839288,0.9959463986221816,0.2885093831969289,0.16857199236992698,12814,3594,883025,59607,0.0040536013778184315,0.8230623714116071,0.5864420136052872,0.2885093831969289,959040,16408,72421,0.017108775442108776,16408,959040,41,400.1951219512195,215.0,483.33179128214766,8,2318,1,0.024390243902439025,8,0.00048756704046806434,2318,0.14127254997562164,4155,0.25323013164310093,206,727,0.04957882069795427,0.1749699157641396,low,low,conservative,0.017108775442108776,16408,959040,41,400.1951219512195,215.0,483.33179128214766,8,2318,1,0.024390243902439025,8,0.00048756704046806434,2318,0.14127254997562164,4155,0.25323013164310093,206,727,0.04957882069795427,0.1749699157641396,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.6679024053797741,23198,23198,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_04L_debug.json,0.9297443276609944,0.6679024053797741,0.20612494678586632,0.9912838057999348,0.31502755016977413,0.1869630273192393,15494,7704,876168,59674,0.008716194200065168,0.7938750532141337,0.5987043762929005,0.31502755016977413,959040,23198,75168,0.9297443276609944,0.6679024053797741,0.20612494678586632,0.9912838057999348,0.31502755016977413,0.1869630273192393,15494,7704,876168,59674,0.008716194200065168,0.7938750532141337,0.5987043762929005,0.31502755016977413,959040,23198,75168,0.024188772105438773,23198,959040,52,446.11538461538464,152.5,588.22358562573,10,2482,1,0.019230769230769232,10,0.0004310716441072506,2482,0.10699198206741961,6851,0.2953271833778774,363,1467,0.052984965698438184,0.2141293241862502,low,low,conservative,0.024188772105438773,23198,959040,52,446.11538461538464,152.5,588.22358562573,10,2482,1,0.019230769230769232,10,0.0004310716441072506,2482,0.10699198206741961,6851,0.2953271833778774,363,1467,0.052984965698438184,0.2141293241862502,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.612220817530552,23730,23730,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_04R_debug.json,0.9285764931598265,0.612220817530552,0.19679237104464672,0.989604797021292,0.2978452959386596,0.17498133114927855,14528,9202,876014,59296,0.010395202978708022,0.8032076289553532,0.5931985840329693,0.2978452959386596,959040,23730,73824,0.9285764931598265,0.612220817530552,0.19679237104464672,0.989604797021292,0.2978452959386596,0.17498133114927855,14528,9202,876014,59296,0.010395202978708022,0.8032076289553532,0.5931985840329693,0.2978452959386596,959040,23730,73824,0.024743493493493494,23730,959040,65,365.0769230769231,194.0,552.6482900945036,12,3288,0,0.0,0,0.0,3288,0.13855878634639696,6955,0.29308891698272227,428,1558,0.06153846153846154,0.2240115025161754,low,low,conservative,0.024743493493493494,23730,959040,65,365.0769230769231,194.0,552.6482900945036,12,3288,0,0.0,0,0.0,3288,0.13855878634639696,6955,0.29308891698272227,428,1558,0.06153846153846154,0.2240115025161754,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.8948111249481112,12045,12045,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_05L_debug.json,0.9307328161494828,0.8948111249481112,0.14192596884423433,0.9985652797704447,0.24499352169663355,0.139596932960315,10778,1267,881832,65163,0.0014347202295552368,0.8580740311557656,0.5702456243073395,0.24499352169663355,959040,12045,75941,0.9307328161494828,0.8948111249481112,0.14192596884423433,0.9985652797704447,0.24499352169663355,0.139596932960315,10778,1267,881832,65163,0.0014347202295552368,0.8580740311557656,0.5702456243073395,0.24499352169663355,959040,12045,75941,0.012559434434434434,12045,959040,41,293.780487804878,216.0,277.826978285365,11,1258,1,0.024390243902439025,11,0.0009132420091324201,1258,0.10444167704441677,3210,0.26650062266500624,206,641,0.06417445482866044,0.1996884735202492,low,low,conservative,0.012559434434434434,12045,959040,41,293.780487804878,216.0,277.826978285365,11,1258,1,0.024390243902439025,11,0.0009132420091324201,1258,0.10444167704441677,3210,0.26650062266500624,206,641,0.06417445482866044,0.1996884735202492,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.8029261057173679,14832,14832,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\debug\Image_05R_debug.json,0.924219010677344,0.8029261057173679,0.1458310373118793,0.9966684788864992,0.2468314420436292,0.1407916203627078,11909,2923,874454,69754,0.00333152111350081,0.8541689626881207,0.5712497580991893,0.2468314420436292,959040,14832,81663,0.924219010677344,0.8029261057173679,0.1458310373118793,0.9966684788864992,0.2468314420436292,0.1407916203627078,11909,2923,874454,69754,0.00333152111350081,0.8541689626881207,0.5712497580991893,0.2468314420436292,959040,14832,81663,0.015465465465465466,14832,959040,51,290.8235294117647,230.0,260.4845940935707,11,1372,1,0.0196078431372549,11,0.0007416396979503776,1372,0.09250269687162892,4115,0.27744066882416396,254,732,0.06172539489671932,0.17788578371810448,low,low,conservative,0.015465465465465466,14832,959040,51,290.8235294117647,230.0,260.4845940935707,11,1372,1,0.0196078431372549,11,0.0007416396979503776,1372,0.09250269687162892,4115,0.27744066882416396,254,732,0.06172539489671932,0.17788578371810448,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
