dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.6109382081885482,66190,66190,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_01L_debug.json,0.9455716132799467,0.6109382081885482,0.604589967855274,0.971135060611665,0.6077475108021793,0.4365210445070544,40438,25752,866403,26447,0.02886493938833499,0.39541003214472603,0.7878625142334694,0.6077475108021793,959040,66190,66885,0.9455716132799467,0.6109382081885482,0.604589967855274,0.971135060611665,0.6077475108021793,0.4365210445070544,40438,25752,866403,26447,0.02886493938833499,0.39541003214472603,0.7878625142334694,0.6077475108021793,959040,66190,66885,0.06901693360026694,66190,959040,31,2135.1612903225805,252.0,7146.33438225624,25,40212,0,0.0,0,0.0,40212,0.6075237951352168,10710,0.16180691947424083,451,1641,0.042110177404295054,0.15322128851540617,normal,low,normal,0.06901693360026694,66190,959040,31,2135.1612903225805,252.0,7146.33438225624,25,40212,0,0.0,0,0.0,40212,0.6075237951352168,10710,0.16180691947424083,451,1641,0.042110177404295054,0.15322128851540617,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.6138807961445258,73454,73454,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_01R_debug.json,0.9414956623289956,0.6138807961445258,0.6190724621763365,0.9679960099390432,0.6164656987395073,0.44557312252964426,45092,28362,857840,27746,0.032003990060956757,0.38092753782366345,0.7935342360576898,0.6164656987395073,959040,73454,72838,0.9414956623289956,0.6138807961445258,0.6190724621763365,0.9679960099390432,0.6164656987395073,0.44557312252964426,45092,28362,857840,27746,0.032003990060956757,0.38092753782366345,0.7935342360576898,0.6164656987395073,959040,73454,72838,0.07659117450784117,73454,959040,27,2720.5185185185187,441.0,7642.106924772583,25,40055,0,0.0,0,0.0,40055,0.5453072671331718,12962,0.17646418166471534,563,2258,0.04343465514581083,0.17420151211232834,normal,low,normal,0.07659117450784117,73454,959040,27,2720.5185185185187,441.0,7642.106924772583,25,40055,0,0.0,0,0.0,40055,0.5453072671331718,12962,0.17646418166471534,563,2258,0.04343465514581083,0.17420151211232834,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.6030699547055863,59610,59610,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_02L_debug.json,0.9316691691691692,0.6030699547055863,0.46195065535851965,0.9731497242459318,0.5231608819035145,0.35424365152097437,35949,23661,857559,41871,0.026850275754068224,0.5380493446414804,0.7175501898022257,0.5231608819035145,959040,59610,77820,0.9316691691691692,0.6030699547055863,0.46195065535851965,0.9731497242459318,0.5231608819035145,0.35424365152097437,35949,23661,857559,41871,0.026850275754068224,0.5380493446414804,0.7175501898022257,0.5231608819035145,959040,59610,77820,0.0621559059059059,59610,959040,26,2292.6923076923076,605.0,6328.161209225064,78,33227,0,0.0,0,0.0,33227,0.5574064754235867,10512,0.17634625062908907,464,1687,0.0441400304414003,0.16048325722983256,normal,low,normal,0.0621559059059059,59610,959040,26,2292.6923076923076,605.0,6328.161209225064,78,33227,0,0.0,0,0.0,33227,0.5574064754235867,10512,0.17634625062908907,464,1687,0.0441400304414003,0.16048325722983256,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.5191988171272656,65603,65603,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_02R_debug.json,0.9245380797464131,0.5191988171272656,0.45481372679930565,0.9643250579652773,0.48487825016192976,0.3200259320505111,34061,31542,852608,40829,0.035674942034722615,0.5451862732006943,0.7095693923822914,0.48487825016192976,959040,65603,74890,0.9245380797464131,0.5191988171272656,0.45481372679930565,0.9643250579652773,0.48487825016192976,0.3200259320505111,34061,31542,852608,40829,0.035674942034722615,0.5451862732006943,0.7095693923822914,0.48487825016192976,959040,65603,74890,0.06840486319652986,65603,959040,32,2050.09375,474.0,3834.501388376452,36,19164,0,0.0,0,0.0,19164,0.2921207871591238,11891,0.18125695471243694,553,1984,0.04650576065932217,0.1668488773021613,normal,low,normal,0.06840486319652986,65603,959040,32,2050.09375,474.0,3834.501388376452,36,19164,0,0.0,0,0.0,19164,0.2921207871591238,11891,0.18125695471243694,553,1984,0.04650576065932217,0.1668488773021613,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.7086397617455783,65812,65812,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_03L_debug.json,0.9502273106439774,0.7086397617455783,0.6202058620139369,0.9783049949991175,0.6614801997049813,0.49418783312670206,46637,19175,864669,28559,0.02169500500088251,0.3797941379860631,0.7992554285065272,0.6614801997049813,959040,65812,75196,0.9502273106439774,0.7086397617455783,0.6202058620139369,0.9783049949991175,0.6614801997049813,0.49418783312670206,46637,19175,864669,28559,0.02169500500088251,0.3797941379860631,0.7992554285065272,0.6614801997049813,959040,65812,75196,0.0686227894561228,65812,959040,13,5062.461538461538,802.0,10397.829304644345,99,36713,0,0.0,0,0.0,36713,0.557846593326445,9627,0.1462803136206163,335,1257,0.03479796405941622,0.1305702711124961,normal,low,normal,0.0686227894561228,65812,959040,13,5062.461538461538,802.0,10397.829304644345,99,36713,0,0.0,0,0.0,36713,0.557846593326445,9627,0.1462803136206163,335,1257,0.03479796405941622,0.1305702711124961,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.6754909308949183,66710,66710,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_03R_debug.json,0.948899941608275,0.6754909308949183,0.6222228359177586,0.9755836497977147,0.6477636184603,0.47903134932868424,45062,21648,864971,27359,0.02441635020228531,0.3777771640822413,0.7989032428577367,0.6477636184603,959040,66710,72421,0.948899941608275,0.6754909308949183,0.6222228359177586,0.9755836497977147,0.6477636184603,0.47903134932868424,45062,21648,864971,27359,0.02441635020228531,0.3777771640822413,0.7989032428577367,0.6477636184603,959040,66710,72421,0.06955914247580915,66710,959040,16,4169.375,1253.5,9630.981646975297,94,40413,0,0.0,0,0.0,40413,0.6058012292010193,10393,0.15579373407285266,382,1396,0.03675550851534687,0.13432117771577023,normal,low,normal,0.06955914247580915,66710,959040,16,4169.375,1253.5,9630.981646975297,94,40413,0,0.0,0,0.0,40413,0.6058012292010193,10393,0.15579373407285266,382,1396,0.03675550851534687,0.13432117771577023,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.6582651005833573,76454,76454,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_04L_debug.json,0.9468551885218552,0.6582651005833573,0.669526926351639,0.9704402899967416,0.6638482542111304,0.49683597413495234,50327,26127,857745,24841,0.02955971000325839,0.330473073648361,0.8199836081741902,0.6638482542111304,959040,76454,75168,0.9468551885218552,0.6582651005833573,0.669526926351639,0.9704402899967416,0.6638482542111304,0.49683597413495234,50327,26127,857745,24841,0.02955971000325839,0.330473073648361,0.8199836081741902,0.6638482542111304,959040,76454,75168,0.0797193026359693,76454,959040,31,2466.2580645161293,294.0,5223.707760979014,39,23788,0,0.0,0,0.0,23788,0.3111413398906532,12034,0.15740183639835717,517,1792,0.04296160877513711,0.1489114176499917,normal,low,normal,0.0797193026359693,76454,959040,31,2466.2580645161293,294.0,5223.707760979014,39,23788,0,0.0,0,0.0,23788,0.3111413398906532,12034,0.15740183639835717,517,1792,0.04296160877513711,0.1489114176499917,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.6426584234930448,58230,58205,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_04R_debug.json,0.9403465965965966,0.6426584234930448,0.506908322496749,0.9764938726819217,0.5667681403062383,0.3954476287091047,37422,20808,864408,36402,0.023506127318078298,0.493091677503251,0.7417010975893353,0.5667681403062383,959040,58230,73824,0.9403601518184852,0.6428313718752684,0.5068270481144344,0.9765153363698803,0.5667845700565785,0.39546362550600866,37416,20789,864427,36408,0.023484663630119654,0.49317295188556565,0.7416711922421573,0.5667845700565785,959040,58205,73824,0.06071696696696697,58230,959040,47,1238.936170212766,145.0,3312.2354629288066,12,22083,0,0.0,0,0.0,22083,0.3792375064399794,9982,0.17142366477760604,481,1539,0.04818673612502505,0.1541775195351633,normal,low,normal,0.0606908992325659,58205,959040,45,1293.4444444444443,150.0,3374.7114546978873,20,22083,0,0.0,0,0.0,22083,0.3794003951550554,9976,0.17139421011940556,477,1539,0.047814755412991176,0.1542702485966319,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.6857409513809899,68574,68574,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_05L_debug.json,0.9473775859192526,0.6857409513809899,0.6192175504668097,0.9755972999629713,0.6507836556758814,0.4823419597706455,47024,21550,861549,28917,0.024402700037028692,0.38078244953319024,0.7974074252148905,0.6507836556758814,959040,68574,75941,0.9473775859192526,0.6857409513809899,0.6192175504668097,0.9755972999629713,0.6507836556758814,0.4823419597706455,47024,21550,861549,28917,0.024402700037028692,0.38078244953319024,0.7974074252148905,0.6507836556758814,959040,68574,75941,0.07150275275275275,68574,959040,10,6857.4,1180.0,15569.881664290193,34,53130,0,0.0,0,0.0,53130,0.7747834456207893,10325,0.1505672703940269,357,1327,0.03457627118644068,0.12852300242130751,normal,low,normal,0.07150275275275275,68574,959040,10,6857.4,1180.0,15569.881664290193,34,53130,0,0.0,0,0.0,53130,0.7747834456207893,10325,0.1505672703940269,357,1327,0.03457627118644068,0.12852300242130751,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.7197443200123717,77597,77597,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\debug\Image_05R_debug.json,0.9504087420754087,0.7197443200123717,0.683908257105421,0.975213619686862,0.7013688308426472,0.5400831641040519,55850,21747,855630,25813,0.02478638031313791,0.3160917428945789,0.8295609383961415,0.7013688308426472,959040,77597,81663,0.9504087420754087,0.7197443200123717,0.683908257105421,0.975213619686862,0.7013688308426472,0.5400831641040519,55850,21747,855630,25813,0.02478638031313791,0.3160917428945789,0.8295609383961415,0.7013688308426472,959040,77597,81663,0.08091111945278612,77597,959040,19,4084.0526315789475,2431.0,4554.814647262183,144,16730,0,0.0,0,0.0,16730,0.21560111859994588,11994,0.15456783123058881,416,1470,0.034684008671002166,0.12256128064032017,normal,low,normal,0.08091111945278612,77597,959040,19,4084.0526315789475,2431.0,4554.814647262183,144,16730,0,0.0,0,0.0,16730,0.21560111859994588,11994,0.15456783123058881,416,1470,0.034684008671002166,0.12256128064032017,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
