dataset,image_id,debug_json_path,seed_selection_method,region_growing_mode,mask_refinement_level,process_refinement_level,combined_refinement_level,process_risk_score,process_risk_level,recommended_refinement_level,selected_seed_point_count,seed_pixel_count,candidate_pixel_count,output_pixel_count,seed_density,candidate_density,output_density,growth_ratio,connected_edge_mean,connected_edge_density,fuzzy_seed_pixel_count,harris_candidate_count,strict_hybrid_candidate_count,initial_seed_component_count,accepted_growth_pixel_count,max_iterations_reached,n_baseline_pixels,n_refined_pixels,n_pixels_removed,n_pixels_added,selected_min_component_area,selected_hole_area,selected_closing_kernel,selected_opening_kernel,refinement_enabled,refinement_changed_mask
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_01L_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,378,142263,66282,0.00039414414414414413,0.14833896396396395,0.06911286286286286,175.34920634920636,0.0832582414150238,0.005199991658324992,5000,1809,15,77,65611,False,66282,66282,0,0,18,8,0,0,True,False
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_01R_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,376,136839,73523,0.00039205872539205874,0.1426833083083083,0.07666312145478812,195.53989361702128,0.09003341197967529,0.00663475975975976,5000,1228,15,77,72798,False,73523,73523,0,0,18,8,0,0,True,False
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_02L_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,380,133014,59601,0.0003962295628962296,0.13869494494494494,0.062146521521521524,156.84473684210528,0.08085058629512787,0.0036724224224224224,5000,1975,30,74,58986,False,59601,59601,0,0,18,8,0,0,True,False
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_02R_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,384,135915,65551,0.0004004004004004004,0.14171984484484484,0.06835064230897564,170.70572916666666,0.09885598719120026,0.008107065398732065,5000,2297,48,76,64886,False,65551,65551,0,0,18,8,0,0,True,False
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_03L_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,385,136603,65872,0.0004014431097764431,0.14243722889556223,0.06868535201868535,171.0961038961039,0.0994003415107727,0.008707665999332667,5000,2411,42,75,65279,False,65872,65872,0,0,18,8,0,0,True,False
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_03R_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,385,129166,66730,0.0004014431097764431,0.1346825992659326,0.06957999666333,173.32467532467533,0.08646920323371887,0.005332415749082416,5000,1680,24,76,66182,False,66730,66730,0,0,18,8,0,0,True,False
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_04L_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,381,145587,76467,0.0003972722722722723,0.15180492992992994,0.07973285785785786,200.70078740157481,0.08703885972499847,0.005054012345679012,5000,1523,17,75,75759,False,76467,76467,0,0,18,8,0,0,True,False
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_04R_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,348,127088,58280,0.00036286286286286285,0.13251584918251585,0.0607691024357691,167.4712643678161,0.08926838636398315,0.004655697364030697,5000,3402,95,77,57708,False,58280,58255,25,0,18,8,0,0,True,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_05L_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,384,138965,68419,0.0004004004004004004,0.14490010844177512,0.07134113279946613,178.17447916666666,0.10905689001083374,0.01252711044377711,5000,2223,54,76,67795,False,68419,68419,0,0,18,8,0,0,True,False
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_05R_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,384,133302,77723,0.0004004004004004004,0.13899524524524526,0.0810425008341675,202.40364583333334,0.09745582193136215,0.008974599599599599,5000,1698,22,75,77082,False,77723,77723,0,0,18,8,0,0,True,False
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_06L_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,383,128393,62122,0.00039935769102435767,0.13387658491825158,0.06477519185852519,162.19843342036555,0.08454801142215729,0.007846388054721388,5000,1737,27,74,61519,False,62122,62122,0,0,18,8,0,0,True,False
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r06_local_or_region_process_override\CHASEDB1\debug\Image_06R_debug.json,selective_fuzzy_harris,edge_delayed,normal,normal,normal,0,low,normal,77,385,141232,69115,0.0004014431097764431,0.14726393059726392,0.07206685852519186,179.5194805194805,0.09656951576471329,0.008122706039372707,5000,3098,64,75,68510,False,69115,69115,0,0,18,8,0,0,True,False
