experiment,experiment_label,dataset,output_method,accuracy,f1_score,iou,precision,recall
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,0.9197135379427046,0.5468726758647625,0.37705738029349173,0.4500805098541602,0.7066402187334172
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,0.9234534385576053,0.5577805861383672,0.38754769554650015,0.4663994235840992,0.7045570762972958
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,0.9246445816142319,0.6969852491488083,0.5380631545901573,0.7111865145134497,0.6942500180842971
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,0.9249377523142848,0.6972440571513994,0.5383268533640979,0.7131806110324758,0.6926469838614456
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,0.928647225501771,0.6412625683359312,0.481612298204093,0.5355523636870617,0.8348488510243893
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,0.930386186540732,0.6453755105414309,0.485332682970693,0.5401371770165189,0.8343212487412217
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,0.9434121249225417,0.45515065385928094,0.29939924015932434,0.6924100531553371,0.3578451930668005
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,0.9434142475809143,0.45515032434591923,0.2993983334149086,0.6924783092802743,0.35783331084806036
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,0.9079754600266116,0.4978983691957913,0.33628089984254733,0.7795174238872663,0.3725608267404271
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,0.907959171985804,0.4976551013456687,0.33606030495908296,0.7796407703423229,0.3722668537736907
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,0.9424968122786306,0.5255369296760255,0.36214931940916223,0.7074689100460132,0.4400583802028021
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,0.9425011806375443,0.5255207137077609,0.36213276551177287,0.7075584859452428,0.4400032688540274
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,0.9456840024548357,0.5301840737447097,0.36294604980791895,0.6661284788194124,0.4528887626256736
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,0.945691748295915,0.5302098625528412,0.36296947116468986,0.6662542538927726,0.4528772543125564
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,0.9126276399586685,0.5563780566816148,0.3873188022320776,0.7732716257245575,0.44182591610117783
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,0.9126210130663688,0.5562872663838508,0.3872339091623048,0.7733109722951211,0.4416991134814891
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,0.9435864226682409,0.5711637571602609,0.40195273532499387,0.6921049447465465,0.5047815264545801
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,0.9435939787485242,0.5711744049929035,0.40196388763527124,0.6921936474444433,0.5047539218133491
