experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,accuracy,28,0.02369858697983693,0.02239896146146142,0.008539347369936267,28,0,0,0.0,7.450580596923828e-09,0.020642764230003784,0.026957463415796672
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,accuracy,20,-0.01666912158762034,-0.019325935843391984,0.014859369368074107,3,0,17,14.0,0.000209808349609375,-0.02277330895092048,-0.010029110331398462
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,accuracy,20,0.013849586776859508,0.00199173553719012,0.029226153351229186,10,0,10,71.0,0.21616744995117188,0.002342883707201874,0.027165649350649346
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,precision,28,0.2423295433011769,0.25952005617851936,0.06969828041740414,28,0,0,0.0,7.450580596923828e-09,0.216345819590011,0.26659959131678407
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,precision,20,0.06833090937381656,0.06250971641258235,0.07100914468881349,17,0,3,16.0,0.0003223419189453125,0.03908151884044934,0.09885752448059083
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,precision,20,0.17191654635895146,0.1451085647264868,0.11927909367158969,20,0,0,0.0,1.9073486328125e-06,0.12237730001046541,0.22347866473197145
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,recall,28,-0.3487950256666167,-0.36785370554129104,0.08966755880876903,0,0,28,0.0,7.450580596923828e-09,-0.3809517770428329,-0.3154495676841701
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,recall,20,-0.32168919134387003,-0.31986270879562195,0.08396013352139241,0,0,20,0.0,1.9073486328125e-06,-0.35773902364414206,-0.2858464850539314
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,recall,20,-0.3947904708215872,-0.36264802777735156,0.12009415228638931,0,0,20,0.0,1.9073486328125e-06,-0.44527134784035166,-0.34565119520929677
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,specificity,28,0.0518327571065158,0.05328666059175269,0.005807010031611953,28,0,0,0.0,7.450580596923828e-09,0.04965157459684901,0.05385111588772571
