comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,accuracy,28,0.002271877532294222,0.002568193193193291,0.003980475037634679,20,0,8,92.0,0.01025690883398056,0.0007794485333547658,0.003673385997604791
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,accuracy,20,0.004652179932056794,0.003621324603081455,0.004725197795306404,16,0,4,14.0,0.000209808349609375,0.0026672932060252614,0.0065953803854984635
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,accuracy,20,0.0010896103896104125,0.00012396694214888981,0.006028778652406991,10,0,10,98.0,0.7938214901244397,-0.0012701977567886502,0.003930832349468732
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,precision,28,-0.02628157433592473,-0.023349520283611813,0.052142684790531746,6,0,22,87.0,0.007071197032928467,-0.04592109057529706,-0.007515527797336672
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,precision,20,-0.006245798162708682,-0.018326725681009626,0.06645176628871106,9,0,11,94.0,0.7011814117431641,-0.03313718294769637,0.023076846021065654
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,precision,20,-0.015363965299466792,-0.0230757893354272,0.05956276202661937,6,0,14,68.0,0.17685317993164062,-0.04014616365589154,0.01061977376799984
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,recall,28,0.09504356955887314,0.09300357939098605,0.04841194558427641,28,0,0,0.0,7.450580596923828e-09,0.07743901501435924,0.11290122718098265
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,recall,20,0.06926508936075074,0.06334418523564689,0.08512542796688184,16,0,4,28.0,0.002712249755859375,0.03478166514481075,0.10640263587529328
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,recall,20,0.06472314625177793,0.04036176299642777,0.11599613741381488,16,0,4,37.0,0.009435653686523438,0.019399236972590186,0.1174024280505889
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,specificity,28,-0.0048197831534634505,-0.004265721585702376,0.0031612442494046477,3,0,25,6.0,1.043081283569336e-07,-0.005953216667952894,-0.0036084570060456547
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,specificity,20,-0.00418742130296304,-0.004462011127542742,0.008444587631217054,5,0,15,52.0,0.04844093322753906,-0.007675043844986372,-0.0006483860296023455
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,specificity,20,-0.004059750846488147,-0.005050135357396401,0.006826340997344086,4,0,16,43.0,0.01923370361328125,-0.006899385899555352,-0.0010334359658850565
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,f1_score,28,0.07503341988542875,0.08006617511027112,0.052907406620597196,25,0,3,11.0,4.0978193283081055e-07,0.05542004970997184,0.0935250601032342
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,f1_score,20,0.05847968748582351,0.06718400072486116,0.06564459639378904,17,0,3,22.0,0.0010166168212890625,0.030973591998016938,0.08794450273833075
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,f1_score,20,0.04562682748423531,0.030243636996954038,0.09355763883333766,13,0,7,41.0,0.01531219482421875,0.01099519911526387,0.08891115235569419
